kaart;type;straat;huisnummer;huisnummerletter;huisnummertoevoeging;postcode;plaats;stadsdeel;www;email;telefoonnummer;fax;openingstijden;bijzonderheden;;
Huisartsenpraktijk Haverkort en Stegenga;adres;Van Hallstraat;200;;;1051HL;Amsterdam;West;http://www.gzc-staatsliedenbuurt.nl/;;020 684 5309;;;huisartsen:<br /> dhr. m. b. m. haverkort  mevr. n. stegenga;;
Huisartsenpraktijk Gezondheidscentrum Pampuslaan;adres;Pampuslaan;30;;;1087LA;Amsterdam;Oost;http://www.gzc-pampuslaan.nl;info-pampuslaan@sag-amsterdam.nl;020 398 7330;;;"huisartsen:<br /> mevr. c. bolder<br /> mevr. s. van der zwan<br /> dhr. r. nahorst<br /> dhr. j. remijnse<br /> <br /> &nbsp;";;
Huisartsenpraktijk Gezondheidscentrum Zeeburg;adres;C. van Eesterenlaan;313;;;1019KT;Amsterdam;Oost;http://www.gzc-zeeburg.nl;info-zeeburg@sag-amsterdam.nl;020 418 3097;;;huisartsen:<br /> mevr. a.van der nooij<br /> mevr.i. van der voet;;
Gezondheidscentrum Vlaanderen;adres;Laan van Vlaanderen;466;;;1066MT;Amsterdam;Nieuw West;http://www.gzc-vlaanderen.nl;info-vlaanderen@sag-amsterdam.nl;020 617 5670;;;"&nbsp;een gezondheidscentrum biedt ge&iuml;ntegreerde eerstelijnszorg; verschillende zorgaanbieders zijn in &eacute;&eacute;n gebouw gevestigd en werken samen.<br /> zorgaanbod<br /> huisartsen<br";;
Huisartsenpraktijk Gezondheidscentrum Vlaanderen;adres;Laan van Vlaanderen;466;;;1066MT;Amsterdam;Nieuw West;http://www.gzc-vlaanderen.nl/;info-vlaanderen@sag-amsterdam.nl;020 617 5670;;;"huisartsen:<br /> mevr. a. steensma<br /> dhr. c. in &lsquo;t veld";;
Gezondheidscentrum Watergraafsmeer;adres;Van 't Hofflaan;47;;;1097EM;Amsterdam;Oost;http://www.gzc-watergraafsmeer.nl/;;020 463 7252;;;"een gezondheidscentrum biedt ge&iuml;ntegreerde eerstelijnszorg; verschillende zorgaanbieders zijn in &eacute;&eacute;n gebouw gevestigd en werken samen.    zorgaanbod:<br /> huisartsen<br />";;
Ergotherapiepraktijk van Dijken;adres;Niftrikhof;20;;;1106SB;Amsterdam;Zuidoost;http://www.cordaan.nl;mvandijken@cordaan.nl;020 564 2300;;;ergotherapeut:<br /> mevr. m. van dijken.;;
Tandheelkunde Nellestein;adres;Liendenhof;99;;;1108HE;Amsterdam;Zuidoost;http://www.tandheelkundenellestein.nl;;020 760 2882;;;"dhr. r.j. steenkist<br /> mevr. j. heijink<br /> mevr. j. jim&eacute;nez<br /> mevr. t. van ligten<br /> mevr. c. visser.";;
Haptotherapiepraktijk Bijlo;adres;Schonerwoerdstraat;7;;;1107GA;Amsterdam;Zuidoost;https://gezondheidscentrumreigersbos.praktijkinfo.nl/pagina/29/haptotherapie/;mbijlo@gazo.nl;088 299 2063;;;haptotherapeut:<br /> mevr. m. bijlo.;;
Logopediepraktijk Venserpolder;adres;"Alfred D&#246;blinstraat";56;;;1102VL;Amsterdam;Zuidoost;http://www.logopediepraktijkvenserpolder.nl;logopediepraktijkvenserpolder@gmail.com;06 1519 1657;;;logopedisten:<br /> mevr. j. finch<br /> mevr. w. suttle;;
Huisartsenpraktijk Kelling & Van der Cingel;adres;Weteringschans;72;;;1017XR;Amsterdam;Centrum;https://praktijkweteringschans.praktijkinfo.nl/;;020 638 7057;;;huisarts:<br /> dhr. e. t. c. kelling<br /> mevr. o.l.a. van der cingel;;
Kraamzorg Blije Nest;postadres;POSTBUS;9556;;;1006GB;AMSTERDAM;;http://www.blijenest.nl;info@blijenest.nl;020 610 1055;;;kraamzorg blije nest is een kraamzorgorganisatie die gespecialiseerd is in kraamzorg in eigen taal en cultuur.    assistentie bij de bevalling    verzorging en controle moeder en kind;;
Imre Zorg;adres;Derkinderenstraat;88;;;1062BJ;Amsterdam;Nieuw West;http://www.imrezorg.nl;info@imrezorg.nl;020 616 8000;;;imre zorg is een thuiszorgorganisatie die zich heeft gespecialiseerd in zorg voor de multiculturele gemeenschap.;;
Fysiotherapiepraktijk De Stroom;adres;Stadionweg;222;;1 hoog;1077TE;Amsterdam;Zuid;http://www.dirkhazelhoff.nl;fysiodirk@hetnet.nl;020 618 7249;;;praktijk van:<br /> dhr. d. hazelhoff, fysiotherapeut en mindfulnesstrainer.;;
Kunstzinnig therapeut Marlies Hofmans;adres;Stadionweg;222;;1 hoog;1077TE;Amsterdam;Zuid;http://www.marlieshofmans.nl/;info@marlieshofmans.nl;06 2558 0417;;;"therapeut:<br /> mevr. m. hofmans<br /> <br /> kunstzinnige therapie is een vorm van therapie waarbij de cli&euml;nt door middel van kunstzinnig werk, dus tekenen, schilderen of boetseren, een ther";;
Hypno- en psychotherapiepraktijk Staman;adres;Stadionweg;222;;;1077TE;Amsterdam;Zuid;http://www.staman-therapie.nl/;;06 1707 2469;;;therapeut:<br /> mevr. f. c. staman;;
Huisartsenpraktijk de Stroom;adres;Stadionweg;216;;;1077TE;Amsterdam;Zuid;https://huisartsenstadionweg216.praktijkinfo.nl/;;020 612 9898;;;huisartsen:<br /> dhr. a. dekkers<br /> mevr. t. s. w. posthuma<br /> dhr. s. m. terborg;;
Huis van de Wijk Rivierenbuurt;adres;Rijnstraat;115;;;1079HA;Amsterdam;Zuid;http://www.huisvandewijkrivierenbuurt.nl;info@huisvandewijkrivierenbuurt.nl/;020 301 0030;;;het huis van de wijk is een ontmoetingsruimte voor bewoners, ondernemers en organisaties in de wijk.    in het huis van de wijk kunt u terecht wanneer u een goed idee heeft voor de wijk of uw ste;;
JIP (Jongeren Informatie Punt) Noord;adres;Termini;22;;;1022LB;Amsterdam;Noord;http://www.jipnoord.nl;info@jipnoord.nl;020 333 9222;;"ma, di, do en vr: 12.00-17.00 uur.    &nbsp;";"jongeren uit amsterdam noord kunnen bij het jip gratis en zonder afspraak informatie en advies krijgen over alles wat voor hun belangrijk is.<br /> <br /> &nbsp;";;
DOCK;adres;Crooswijksesingel;50;B;;3034CJ;Rotterdam;;http://www.dock.nl/amsterdam;info@dock.nl;020 333 0264;;;stichting dock is een interculturele welzijnsorganisatie.<br /> in amsterdam verzorgt dock het jongerenwerk.;;
Marco Derr, training en coaching;adres;Transformatorweg;28;;D0.22;1014AK;Amsterdam;West;http://www.marcoderr.nl;contact@marcoderr.nl;06 4746 0633;;;coaching en training van kinderen en jongeren met als doel hun weerbaarheid en zelfvertrouwen te vergroten.<br /> ook ouders, leerkrachten en trainers kunnen terecht.;;
Distel zorg;adres;Ottho Heldringstraat;25;H;;1066XT;Amsterdam;Nieuw West;http://www.distelzorg.nl;info@distelzorg.nl;020 760 2111;;geopend: ma t/m vr 09.00-17.00 uur.;;;
Buro Bloei;adres;Roemer Visscherstraat;42;;;1054EZ;Amsterdam;West;http://www.buro-bloei.nl;info@buro-bloei.nl;020 337 4478;;;buro bloei is een advies- en begeleidinspraktijk voor kinderen.<br />;;
Diet Training and Health;adres;Amstel;62;;;1017AC;Amsterdam;Centrum;http://www.diettrainingandhealth.nl;info@diettrainingandhealth.nl;06 4220 5850;;;"behandeling en advies bij:    overgewicht bij jongeren en volwassenen    eetstoornissen    darmklachten    glutenallergie en &ndash;intolerantie, lactose-intolerantie    di";;
Praktijk voor Medische Beslissingsondersteuning en Second Opinion;adres;Zaanstraat;137;;;1013RW;Amsterdam;West;http://www.hermacoumou.nl;hcoumou@xs4all.nl;020 616 6538;;;"praktijk van mevr. herma coumou, arts.    &nbsp;";;
Patz, palliatieve thuiszorg;postadres;Postbus;206;;;1000AE;AMSTERDAM;;http://www.patz.nu;info@patz.nu;020 344 5377;;;patz heeft tot doel de samenwerking tussen huisartsen en wijkverpleegkundigen te bevorderen waardoor de kwaliteit in de palliatieve thuiszorg toeneemt.    huisartsen en wijkverpleegkundigen werke;;
Radar, bureau voor sociale vraagstukken;adres;Veemarkt;83;;;1019DB;Amsterdam;Oost;http://www.radar-groep.nl;info@radar-groep.nl;020 463 5050;020 463 5051;;radar is als bureau voor sociale vraagstukken actief in het sociaal domein.;;
Jongerenproductiehuis StatioNNrd;adres;Termini;22;;;1022LB;Amsterdam;Noord;http://www.dockzz.nl/adamnoord/programma/stationnrd/;;020 333 9233;;;;;
Jongerenwinkel Pekzz;adres;Resedastraat;2;;;1031BK;Amsterdam;Noord;http://www.dockzz.nl/adamnoord;;06 4144 1904;;;;;
Logopediepraktijk Anneli Delfos;adres;Hygiëastraat;8;;;1076RM;Amsterdam;Zuid;http://www.stem-spraak-taal.nl;;020 423 4446;;;;;
Logopediepraktijk Anneli Delfos;adres;Spaarndammerplantsoen;58;A;;1013XT;Amsterdam;West;http://www.stem-spraak-taal.nl;;020 423 4446;;;;;
Stichting StreetPro;adres;"Rh&#244;neweg";38;;;1043AH;Amsterdam;Westpoort;http://www.streetpro.nl;laura@streetpro.nl;020 411 9511;;;"stichting streetpro&nbsp;is een jonge inspirerende organisatie die jongeren op weg wil helpen naar een sociaal maatschappelijke zelfredzaamheid.&nbsp;de stichting bestaat uit 2 programma's waar";;
Gemeentelijke Ombudsman;postadres;POSTBUS;2119;;;1000CC;AMSTERDAM;;https://www.ombudsmanmetropool.nl;info@gemeentelijkeombudsman.nl;020 625 9999;;telefonisch spreekuur: edere werkdag van 10.00 tot 12.00 uur.<br /> inloopspreekuur: iedere dinsdag van10:00 tot 12:00;u kunt bij de gemeentelijke ombudsman een klacht indienen over (diensten en bedrijven van) de gemeenten amsterdam.;;
Gemeentelijke Ombudsman;adres;Jacob Bontiusplaats;9;;;1018LL;Amsterdam;Centrum;https://www.ombudsmanmetropool.nl;info@gemeentelijkeombudsman.nl;020 625 9999;;telefonisch spreekuur: edere werkdag van 10.00 tot 12.00 uur.<br /> inloopspreekuur: iedere dinsdag van10:00 tot 12:00;u kunt bij de gemeentelijke ombudsman een klacht indienen over (diensten en bedrijven van) de gemeenten amsterdam.;;
SportService Amsterdam;adres;Burgerweeshuispad;54;;;1076EP;Amsterdam;Zuid;https://www.amsterdam.nl/sport/sportservice/;sportservice@amsterdam.nl;020 251 8200;020 251 8204;;;;
SportService Amsterdam;postadres;Postbus;46;;;1000AA;Amsterdam;;https://www.amsterdam.nl/sport/sportservice/;sportservice@amsterdam.nl;020 251 8200;020 251 8204;;;;
Dorpsraad Sloten-Oud Osdorp;adres;Nieuwe Akerweg;14;;;1066ES;Amsterdam;Nieuw West;http://dorpsraadslotenoudosdorp.nl;de.dorpsraad@kpnmail.nl;020 617 4511;020 614 3472;maandag en donderdag van 9.00 tot 14.00 uur.;;;
Politie Eenheid Amsterdam;postadres;Postbus;2287;;;1000CG;Amsterdam;;http://www.politie.nl;;112;;;;;
Mantelaar;adres;Overtoom;197;;;1054HT;Amsterdam;West;http://www.mantelaar.nl;info@mantelaar.nl;020 205 0949;;;mantelaar koppelt medisch studenten aan thuiswonende ouderen om daarmee hun naasten en mantelzorgers te ondersteunen.;;
De Speelse Kracht;adres;Borgerstraat;102;;;1053ZB;Amsterdam;Nieuw West;http://www.despeelsekracht.nl;;06 4140 2415;;;dramatherapie individueel en in kleine groepen.             trainingen in o.a.: weerbaarheid, sociale vaardigheden, faalangst, assertiviteit.       werkgebied: amsterdam west en op locatie;;
Rappórt Bewindvoering en Inkomensbeheer Amsterdam;postadres;Hillegomstraat;12;;;1058LS;Amsterdam;Zuid;http://www.rapportbi.nl/;;;;;"rapp&oacute;rt biedt hulp aan iedereen die (tijdelijk) niet in staat is om hun financi&euml;le belang te behartigen. bijvoorbeeld:    - mensen die begeleid zelfstandig wonen    - mensen e";;
Hersencentrum;adres;Marnixstraat;364;;- 366 huis;1016XW;Amsterdam;Centrum;http://www.hersencentrum.nl;info@hersencentrum.nl;072 520 1489;020 223 9665;;"bij dit centrum&nbsp; kunnen kinderen en volwassenen terecht voor psychodiagnostiek, cognitieve gedragstherapie, verschillende vormen van psychotherapie en emdr.";;
De Vrije Praktijk voor Psychotherapie;adres;Jacob van Lennepkade;334;F;;1053NJ;Amsterdam;West;http://www.devrijepraktijkvoorpsychotherapie.nl;info@devrijepraktijkvoorpsychotherapie.nl;;;;praktijk van: mevr. a. cherpanath, arts-psychotherapeut.;;
Praktijk voor Kunstzinnige therapie Lida van Twisk;adres;Willemsstraat;143;;hs;1015JC;Amsterdam;Centrum;http://www.kunstzinnige-therapie.com/;info@kunstzinnige-therapie.com;020 684 8273;020 684 8660;;;;
Psychotherapy & Movement;adres;Sarphatistraat;27;A;;1018EV;Amsterdam;Centrum;http://www.psychotherapymovement.nl;info@psychotherapymovement.nl;020 528 5231;;;- cognitieve gedragstherapie (imaginaire exposure en imaginaire rescripting)<br /> - emdr o.a. na trauma<br /> - psychotherapie<br /> - schematherapie<br /> - relatie- en gezinstherapie bij onderli;;
Lux Life Coaching;adres;Van Helt Stocadestraat;24;;;1073JD;Amsterdam;Zuid;http://www.luxlifecoaching.nl;informatie@luxlifecoaching.nl;06 2488 5541;;;praktijk voor coaching en counseling.                    mirjam dekker, levens- en loopbaancoach, counselor, psycholoog.;;
Huisartsenpraktijk Alhoda;adres;Ottho Heldringstraat;17;B;;1066XT;Amsterdam;Nieuw West;http://www.docvadis.nl//huisartsenpraktijk-alhoda/index.html;;020 388 0270;020 615 8882;;huisarts: m. ahmed.;;
GGZ praktijk Riedek;adres;Ottho Heldringstraat;17;;;1066XT;Amsterdam;Nieuw West;http://www.riedewald.nl;info@riedewald.nl;06 3167 8727;;;praktijk van mevr. k. riedewald.;;
Woon- en zorgcentrum De Den;adres;Ruys de Beerenbrouckstraat;23;;;1067BL;Amsterdam;Nieuw West;http://www.puurzuid.nl;;020 570 6300;;;woon- en zorgcentrum de den is een kleinschalige woonvoorziening voor mensen met dementie.;;
EETinzicht;adres;Tweede Boerhaavestraat;49;C;;1091AL;Amsterdam;Oost;http://www.eetinzicht.nl;info@eetinzicht.nl;020 737 2574;;locatie oost:<br /> - ma t/m za op afspraak (avonduren is mogelijk).    locatie west:<br /> - vr: 09.00-12.30 uur op afspraak (andere dag of tijdstip in overleg).;praktijk van:<br /> sanaa bouras-el mallali<br /> linda van den berg    specialisaties:<br /> - diabetes mellitus<br /> - obesitas<br /> - leefstijlavies in het algemeen of bij het afvallen, s;;
EETinzicht;adres;Slotermeerlaan;1;;;1064GX;Amsterdam;Nieuw West;http://www.eetinzicht.nl;info@eetinzicht.nl;020 737 2574;;locatie oost:<br /> - ma t/m za op afspraak (avonduren is mogelijk).    locatie west:<br /> - vr: 09.00-12.30 uur op afspraak (andere dag of tijdstip in overleg).;praktijk van:<br /> sanaa bouras-el mallali<br /> linda van den berg    specialisaties:<br /> - diabetes mellitus<br /> - obesitas<br /> - leefstijlavies in het algemeen of bij het afvallen, s;;
Stichting Upgrade;adres;"Plein &#39;40-&#39;45";5;;;1063KP;Amsterdam;Nieuw West;http://www.stichtingupgrade.nl/;info@stichtingupgrade.nl;;;;stichting upgrade biedt bijles, weekendschool en huiswerkbegeleiding.;;
Therapiepraktijk Barendse;adres;Ruysdaelstraat;49;;A1 Unit G;1071XA;Amsterdam;Zuid;http://www.barendsepsycholoog.com;a.m.g.barendse@gmail.com;06 4031 3160;;;praktijk van:             mevr. a.m.g. barendse, psycholoog nip                    doelgroep: volwassenen en ouderen                    aanbod:             basis- en spec;;
Speel-o-theek Gaasperdam;adres;Reigersbos;309;;;1107EZ;Amsterdam;Zuidoost;http://www.swazoom.nl;speelotheekgaasperdam@swazoom.nl;06 2313 8973;;;ouders en kinderen van 0 tot 12 jaar speelgoed kunnen lenen. op woensdagmiddag kunnen kinderen samen spelen en krijgen ouders advies over spel en speelgoed.;;
Huisartsenpraktijk Kolenberg;adres;Hoofdweg;176;;;1057DC;Amsterdam;West;http://kolenberg.praktijkinfo.nl;;020 303 4750;020 303 4752;;praktijk van: mevr. b.kolenberg, huisarts.;;
Psychiatriepraktijk De Vries;adres;Ruysdaelstraat;49;A;1 Unit C;1071XA;Amsterdam;Zuid;http://www.psychiaterdevries.nl;praktijk@psychiaterdevries.nl;06 1991 7223;;;psychiatrische behandeling voor adolescenten en volwassenen.       diagnostiek, advies en behandeling in de vorm van individuele psychotherapie en/of medicatie.        praktijk van: c.a.;;
N.A.H. Reïntegratie;adres;Westerstraat;187;;;1015MA;Amsterdam;Centrum;http://nah-reintegratie.nl;info@nah-reintegratie.nl;06 1608 8517;;;"n.a.h. staat voor niet-aanboren hersenletsel.<br /> na de diagnose n.a.h., moet de pati&euml;nt leren leven met n.a.h.<br /> n.a.h. re&iuml;ntegratie helpt met het vinden van een geschikte baan, en";;
Kantlijn, huiskamer voor hoogbegaafden;adres;Tweede Van der Helststraat;66;;;1072PG;Amsterdam;Zuid;http://www.kantlijn.net;greet@kantlijn.net;06 3014 9351;;elke tweede dinsdag van de maand.<br /> <br /> oneven maanden: 20.00-22.00 uur.<br /> (2016: 12/1, 8/3, 10/5, 13/9 en 8/11).<br /> <br /> even maanden: 14.00-16.00 uur.<br /> (2016: 9/2, 12/4, 14/6;de huiskamer voor hoogbegaafde volwassenen (hb huiskamer) biedt hoogbegaafden ontmoeting, informatie en gezelligheid.                    ook voor mensen die twijfelen of ze hoogbegaafd z;;
Kantlijn, huiskamer voor hoogbegaafden;postadres;Postbus;76254;;;1070EG;Amsterdam;;http://www.kantlijn.net;greet@kantlijn.net;06 3014 9351;;elke tweede dinsdag van de maand.<br /> <br /> oneven maanden: 20.00-22.00 uur.<br /> (2016: 12/1, 8/3, 10/5, 13/9 en 8/11).<br /> <br /> even maanden: 14.00-16.00 uur.<br /> (2016: 9/2, 12/4, 14/6;de huiskamer voor hoogbegaafde volwassenen (hb huiskamer) biedt hoogbegaafden ontmoeting, informatie en gezelligheid.                    ook voor mensen die twijfelen of ze hoogbegaafd z;;
Nelleke van Uden, praktijk voor integratieve kindertherapie;adres;"Hygi&#235;astraat";8;;;1076RM;Amsterdam;Zuid;http://www.onzekindertherapeut.nl;;06 1994 7537;;;psychotherapie voor kinderen van 4 t/m 15 jaar.<br /> hulp bij het verwerken van sociaal-emotionele problemen zoals scheiding en rouw. leren omgaan met angst, sociale vaardigheden versterken.<br />;;
AanpakPesten;adres;WG-plein;91;;;1054RC;Amsterdam;West;http://www.aanpakpesten.nl;info@aanpakpesten.nl;06 2248 9927;;;"praktijk van mevr. m. henderson.<br /> sta sterk-training voor kinderen en jongeren (5 t/m 18 jaar).<br /> opleiding tot trainer en cursus anti-pest co&ouml;rdinator voor volwassenen.   voor org";;
Philadelphia Fasehuis;adres;EGoliplein;2;;-11;1103AB;Amsterdam;Zuidoost;http://www.philadelphia.nl;;020 416 6923;;;het fasehuis is een trainingshuis in amsterdam voor jongeren met een lichte verstandelijke beperking van circa 18 tot 25 jaar. in de training leren ze hoe je zelfstandig kunt wonen.<br /> bewoners;;
Hendrikx & Thomas Advocaten;adres;Ceintuurbaan;259;;-261;1074CZ;Amsterdam;Zuid;http://www.thomasadvocaten.nl;;020 670 3985;020 670 3976;;o.a. gratis inloopspreekuren, toegankelijk voor iedereen. in de eigen taal is mogelijk: marokkaans-arabisch, berbers, spaans, portugees.;;
Medisch Centrum Roelof Hart;adres;Gerard Terborgstraat;44;;-46;1071TP;Amsterdam;Zuid;http://www.medischcentrumroelofhart.nl;;;;;zorgaanbod:<br /> huisartsen: mevr. m. husmann, dhr. a. van raalte, dhr. a.d. swaan en mevr. e. vrolijk, dhr. j.g. van der veen.<br /> <br /> apotheek oud-zuid.<br /> <br /> atalmedial-mdc.<br /> <;;
AlterEgo services, financiële en persoonlijke dienstverlening;adres;IJburglaan;570;;;1087BT;Amsterdam;Oost;http://www.alteregoservices.nl;info@alteregoservices.nl;020 770 6450;;;"alterego services biedt hulp op het gebied van:    financi&euml;n (post en administratie, verzekeringen en declaraties, belastingen en hypotheek, bankzaken en vermogen)    toekomstplannin";;
We Zorgen Amsterdam;adres;Haarlemmerweg;10;C;;1014BE;Amsterdam;West;http://wezorgen.nl/city/amsterdam/;;;;;wezorgen amsterdam bemiddelt bij het vinden van een dienstverlener voor allerhande diensten en klussen:      <ul>        <li>thuiskapper </li>        <li>pedicure </li>        <li>vervoer van a;;
RenatevanderVeen.nl, coaching hoogbegaafde;adres;Nieuwe Leliestraat;71;;;1015SK;Amsterdam;Centrum;http://www.renatevanderveen.nl;info@renatevanderveen.nl;06 1489 0474;;;begeleiding hoogbegaafde volwassenen:    coaching    dialoogbijeenkomsten om ervaringen uit te wisselen    workshop volwassenen en hoogbegaafdheid    tankstation voor de liefde:;;
Stichting Ei-werk;adres;H.J.E. Wenckebachweg;115;;;1096AL;Amsterdam;Oost;http://www.ei-werk.nl;info@ei-werk.nl;06 5553 7630;;;muziekcentrum voor mensen met een psychische en maatschappelijke kwetsbaarheid.;;
De Bewaarschool, buurtgericht kinderwerk;adres;Oudezijds Voorburgwal;241;;;1012EZ;Amsterdam;Centrum;http://www.debewaarschool.nl;miekehoning@debewaarschool.nl;020 344 6310;;;spelinloop voor kinderen van 0-4 jaar en hun ouders.<br /> buurtgerichte activiteiten voor basisschoolkinderen 4-12 jaar.<br /> <br /> werkgebied: noord, oost, centrum.    op de diverse locait;;
GGZ praktijk Praktysk;adres;Domselaerstraat;108;;;1093MA;Amsterdam;Oost;http://www.psychotherapie-praktysk.nl;hjwijmstra@planet.nl;06 1224 0692;;;praktysk biedt zowel basis ggz (voorheen eerstelijns psychologische zorg) als gespecialiseerde ggz (voorheen psychotherapie).<br /> <br /> gericht op volwassenen, jongvolwassenen en kinderen vanaf;;
Meertaalpraktijk, logopedie en advies;adres;Arent Janszoon Ernststraat;179;B;;1083GV;Amsterdam;Zuid;http://www.meertaalpraktijk.nl;info@meertaalpraktijk.nl;06 4600 0691;;;"u kunt bij meertaalpraktijk terecht voor:    logopedische therapie aan kinderen met moeilijkheden    logopedie op het gebied van taalontwikkeling, articulatie en mond&shy;motoriek   <p";;
Ergotherapie Amsterdam-Noord;adres;Elpermeer;227;;;1025AG;Amsterdam;Noord;http://www.ergotherapieamsterdamnoord.nl;;020 737 3103;;telefonisch bereikbaar: werkdagen 08.00-18.00 uur.<br /> <br /> gezondheidscentrum tuindorp-nieuwendam: woensdag.<br /> consult ook mogelijk bij fysiotherapie goed schellingwoude en mcn ergotherapie.;ergotherapie amsterdam-noord biedt eerstelijns ergotherapie in de praktijk of op locatie (bijvoorbeeld thuis, school, werk). training, advies en begeleiding:    begeleiding bij gezond ouder wo;;
Ergotherapie Amsterdam-Noord;adres;Avenhornstraat;41;;;1023TR;Amsterdam;Noord;http://www.ergotherapieamsterdamnoord.nl;;020 737 3103;;telefonisch bereikbaar: werkdagen 08.00-18.00 uur.<br /> <br /> gezondheidscentrum tuindorp-nieuwendam: woensdag.<br /> consult ook mogelijk bij fysiotherapie goed schellingwoude en mcn ergotherapie.;ergotherapie amsterdam-noord biedt eerstelijns ergotherapie in de praktijk of op locatie (bijvoorbeeld thuis, school, werk). training, advies en begeleiding:    begeleiding bij gezond ouder wo;;
Ergotherapie Amsterdam-Noord;adres;Schellingwouderdijk;240;;;1023NL;Amsterdam;Noord;http://www.ergotherapieamsterdamnoord.nl;;020 737 3103;;telefonisch bereikbaar: werkdagen 08.00-18.00 uur.<br /> <br /> gezondheidscentrum tuindorp-nieuwendam: woensdag.<br /> consult ook mogelijk bij fysiotherapie goed schellingwoude en mcn ergotherapie.;ergotherapie amsterdam-noord biedt eerstelijns ergotherapie in de praktijk of op locatie (bijvoorbeeld thuis, school, werk). training, advies en begeleiding:    begeleiding bij gezond ouder wo;;
Ergotherapie Amsterdam-Noord;adres;Beverwijkstraat;9;C;;1024VR;Amsterdam;Noord;http://www.ergotherapieamsterdamnoord.nl;;020 737 3103;;telefonisch bereikbaar: werkdagen 08.00-18.00 uur.<br /> <br /> gezondheidscentrum tuindorp-nieuwendam: woensdag.<br /> consult ook mogelijk bij fysiotherapie goed schellingwoude en mcn ergotherapie.;ergotherapie amsterdam-noord biedt eerstelijns ergotherapie in de praktijk of op locatie (bijvoorbeeld thuis, school, werk). training, advies en begeleiding:    begeleiding bij gezond ouder wo;;
Iemand Thuis;postadres;Postbus;59778;;;1040LG;Amsterdam;;http://www.iemandthuis.nl;info@iemandthuis.nl;020 260 0062;;;iemand thuis maakt individuele koppelingen tussen een jongere en een oudere. een jongere van iemand thuis kan langskomen om te koken, boodschappen te doen, te helpen met de administratie of de comp;;
Dietistenpraktijk Priscilla Tasche Voeding en Lifestyle;adres;Arent Janszoon Ernststraat;179;;-181;1083GV;Amsterdam;Zuid;http://www.ptvoedingenlifestyle.nl;;06 2787 8761;;;;;
Dietistenpraktijk Priscilla Tasche Voeding en Lifestyle;adres;Zuideinde;455;;;1035PH;Amsterdam;Noord;http://www.ptvoedingenlifestyle.nl;;06 2787 8761;;;;;
Dietistenpraktijk Priscilla Tasche Voeding en Lifestyle;adres;Johannes Verhulststraat;101;;;1071MX;Amsterdam;Zuid;http://www.ptvoedingenlifestyle.nl;;06 2787 8761;;;;;
Psychiatrische praktijk Psydok;adres;Westerdok;718;;-720;1013BV;Amsterdam;Centrum;http://www.psydok.nl;info@psydok.nl;020 623 7417;020 337 7821;maandag t/m woensdag, vrijdag.;psydok biedt diagnostiek en behandeling van brede psychiatrische problematiek aan kinderen, jeugdigen en volwassenen.<br /> <br /> dhr. dr. z. erkut, kinder en jeugd psychiater<br /> mw. drs. v. ro;;
Mangomobility;adres;Baionen;6;;;1046CK;Amsterdam;Westpoort;http://www.mangomobility.nl;info@mangomobility.nl;020 217 0721;;;o.a. scootmobielen.;;
Fysio Centrum Amsterdam (FCA), fysiopraktijk met sportschool;adres;Nieuwezijds Kolk;15;;;1012PV;Amsterdam;Centrum;http://www.fysiocentrumamsterdam.nl;info@fysiocentrumamsterdam.nl;020 261 0274;;;;;
Fysio Centrum Amsterdam (FCA), fysiopraktijk met sportschool;adres;Pieter Calandlaan;1287;;;1069RE;Amsterdam;Nieuw West;http://www.fysiocentrumamsterdam.nl;info@fysiocentrumamsterdam.nl;020 261 0274;;;;;
Fysio Centrum Amsterdam (FCA), fysiopraktijk met sportschool;adres;Overtoom;37;;;1054HB;Amsterdam;West;http://www.fysiocentrumamsterdam.nl;info@fysiocentrumamsterdam.nl;020 261 0274;;;;;
Join your Life, lifecoaching en hypnotherapie;adres;Nicolaas Beetsstraat;128;;;1054XT;Amsterdam;West;http://www.joinyourlife.com;;06 4627 1336;;;;;
Gezondheidscentrum Sanitas;adres;Bos en Lommerweg;357;;;1061DH;Amsterdam;West;http://www.sanitas.nl;bosenlommer@sanitas.nl;020 782 0022;020 475 1989;;gezondheidscentrum sanitas biedt:    huisartsen: dhr. m. uyar, mevr. y. akgul-aydin    tandarts: dhr. m. alici    kraamzorg sara;;
Hendrikse-Renes Advocaten;adres;Veembroederhof;37;;;1019HD;Amsterdam;Oost;http://www.hendrikse-renes.nl;mail@hendrikse-renes.nl;020 418 2000;020 626 2863;;o.a. gratis begeleiding bij het aanvragen van awbz-zorg. hulp bij het invullen van indicatieformulieren voor het centrum voor indicatiestelling (ciz) en bureau jeugdzorg (bjz).;;
Good Food Advice;adres;WG-plein;226;;;1054SE;Amsterdam;West;http://www.goodfoodadvice.nl;;06 5117 8763;;;praktijk van: mevr. n. smoltsak, diëtiste en coach.;;
Good Food Advice;adres;Witte de Withstraat;11;;;1057XE;Amsterdam;West;http://www.goodfoodadvice.nl;;06 5117 8763;;;praktijk van: mevr. n. smoltsak, diëtiste en coach.;;
Good Food Advice;adres;Ruysdaelstraat;49;A;;1071XA;Amsterdam;Zuid;http://www.goodfoodadvice.nl;;06 5117 8763;;;praktijk van: mevr. n. smoltsak, diëtiste en coach.;;
